ISO,COUNTRY,2019INDEP,2020INDEP,2019ELECT,2020ELECT,2019AUSCORR,2020AUSCORR,2019PAR,2020PAR,2019IDH,2020IDH,PERCOR_2020.y.x,PERCOR_2019.y.x,2019LEG,2020LEG,DES2019,DES2020,COUNTRY.x.y,PERCOR_2020.y.y,PERCOR_2019.y.y,INFLACION_2019,INFLACION_2020
PAK,Pakistan,0.473176632810784,0.524937318046665,1,1,0.331713808801807,0.341915118495281,0.214,0.232,0.546,0.543,31,32,7.9,7.6,3.54200005531311,4.30299997329712,Pakistan,31,32,10.5783618004555,9.73999313898131
PAN,Panama,0.445928963330096,0.456621452123919,1,1,0.470404994987133,0.464738177977044,0.455,0.463,0.816,0.801,35,36,2.9,2.8,4.72599983215332,12.8540000915527,Panama,35,36,-0.355083821021212,-1.55027540803759
PER,Peru,0.615389725583653,0.653402289607379,1,1,0.505893996519937,0.513925646098127,0.59,0.591,0.78,0.762,38,36,6.6,7.1,3.38000011444092,7.17999982833862,Peru,38,36,2.25212191358024,2.00241205759293
PHL,Philippines,0.462177256542117,0.476599822343614,1,1,0.425050042595229,0.425050042595229,0.315,0.287,0.717,0.71,34,34,7.2,7.3,2.24000000953674,2.51999998092651,Philippines,34,34,2.39206534422402,2.39316239316241
PNG,Papua New Guinea,0.624526739846588,0.637773490679139,0.757503043355803,0.757503043355803,0.314902007290905,0.314902007290905,0.257,0.256,0.56,0.56,27,28,6.2,6,2.44899988174438,2.59500002861023,Papua New Guinea,27,28,3.92867290939598,4.87167398565548
POL,Poland,0.478909038417678,0.489346605595128,1,1,0.660131099923564,0.660131099923564,0.456,0.413,0.881,0.876,56,58,4.1,4.2,3.27999997138977,3.16000008583069,Poland,56,58,2.227478809383,3.3744697261859
PRT,Portugal,0.888963696465079,0.771268723627613,1,1,0.725787178183602,0.660598987653079,0.632,0.607,0.866,0.862,61,62,1,0.8,6.46000003814697,6.78999996185303,Portugal,61,62,0.338178410046125,-0.0124383299576167
PRY,Paraguay,0.485525451550719,0.486308269153095,1,1,0.36991068453306,0.362746885930053,0.363,0.353,0.731,0.73,28,28,6.8,6.5,6.59000015258789,7.55000019073486,Paraguay,28,28,2.7570972756279,1.7675159235669
QAT,Qatar,0.380298656459478,0.384917206216501,0,0,0.477640616331443,0.477640616331443,0.031,0.025,0.858,0.853,63,62,6.4,6.3,0.100000001490116,0.214000001549721,Qatar,63,62,-0.666641124861102,-2.54031503004763
ROU,Romania,0.468283823902127,0.678474014146623,1,1,0.514772535500501,0.530180190439834,0.493,0.569,0.831,0.823,44,44,5.6,5.3,3.91000008583069,5.03000020980835,Romania,44,44,3.82785432599428,2.63107311184752
RWA,Rwanda,0.314499082863156,0.354722840776146,0.403613814208192,0.403613814208192,0.538531613436361,0.538531613436361,0.196,0.185,0.534,0.532,54,53,6.8,6.8,1.09800004959106,1.48500001430511,Rwanda,54,53,3.3478765503764,9.85039902274209
SAU,Saudi Arabia,0.297979829631891,0.305593505877194,0,0,0.410082075586238,0.429541636527274,0.021,0.019,0.873,0.87,53,53,8.4,8.1,5.6729998588562,7.44999980926514,Saudi Arabia,53,53,-2.09333333333333,3.44545825956691
SDN,Sudan,0.37819971341922,0.379477485067874,0.403613814208192,0.403613814208192,0.435154349906756,0.399458411387346,0.114,0.105,0.514,0.51,16,16,9.8,9.3,17.6539993286133,19.6490001678467,Sudan,16,16,50.9940515002971,150.322723865569
SEN,Senegal,0.487166289486638,0.480951648162092,1,1,0.546073260433315,0.551349663709673,0.4,0.399,0.513,0.513,45,45,4.1,3.8,2.85999989509583,3.62299990653992,Senegal,45,45,1.75856517595659,2.54743464570552
